work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_iso,company_location_iso
2020-01-01,Mid-level,Full Time,Data Scientist,79833,Germany,<20% Remote,Germany,Large,DEU,DEU
2020-01-01,Senior-level,Full Time,Machine Learning,260000,Japan,<20% Remote,Japan,Small,JPN,JPN
2020-01-01,Senior-level,Full Time,Data Engineer,109024,United Kingdom,Partial Remote,United Kingdom,Medium,GBR,GBR
2020-01-01,Mid-level,Full Time,Data Analyst,20000,Honduras,<20% Remote,Honduras,Small,HND,HND
2020-01-01,Senior-level,Full Time,Machine Learning,150000,United States,Partial Remote,United States,Large,USA,USA
2020-01-01,Entry-level,Full Time,Data Analyst,72000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Senior-level,Full Time,Data Scientist,190000,United States,>80% Remote,United States,Small,USA,USA
2020-01-01,Mid-level,Full Time,Data Scientist,35735,Hungary,Partial Remote,Hungary,Large,HUN,HUN
2020-01-01,Mid-level,Full Time,Data Analyst,135000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Senior-level,Full Time,Data Engineer,125000,New Zealand,Partial Remote,New Zealand,Small,NZL,NZL
2020-01-01,Entry-level,Full Time,Data Scientist,51321,France,<20% Remote,France,Small,FRA,FRA
2020-01-01,Mid-level,Full Time,Data Scientist,40481,India,<20% Remote,India,Large,IND,IND
2020-01-01,Entry-level,Full Time,Data Scientist,39916,France,<20% Remote,France,Medium,FRA,FRA
2020-01-01,Mid-level,Full Time,Data Analyst,87000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Analyst,85000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Analyst,8000,Pakistan,Partial Remote,Pakistan,Large,PAK,PAK
2020-01-01,Entry-level,Full Time,Data Engineer,41689,Japan,>80% Remote,Japan,Small,JPN,JPN
2020-01-01,Senior-level,Full Time,Data Engineer,114047,Poland,>80% Remote,United Kingdom,Small,POL,GBR
2020-01-01,Entry-level,Full Time,Data Scientist,5707,India,Partial Remote,India,Medium,IND,IND
2020-01-01,Mid-level,Full Time,Data Engineer,56000,Portugal,>80% Remote,United States,Medium,PRT,USA
2020-01-01,Mid-level,Full Time,Machine Learning,43331,China,<20% Remote,China,Medium,CHN,CHN
2020-01-01,Mid-level,Full Time,Data Analyst,6072,India,>80% Remote,India,Large,IND,IND
2020-01-01,Senior-level,Full Time,Data Engineer,47899,Greece,Partial Remote,Greece,Large,GRC,GRC
2020-01-01,Mid-level,Full Time,Data Analyst,98000,United States,<20% Remote,United States,Medium,USA,USA
2020-01-01,Mid-level,Full Time,Data Scientist,115000,United Arab Emirates,<20% Remote,United Arab Emirates,Large,ARE,ARE
2020-01-01,Executive-level,Full Time,Data Scientist,325000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Entry-level,Full Time,research scientist,42000,Netherlands,Partial Remote,Netherlands,Large,NLD,NLD
2020-01-01,Senior-level,Full Time,Data Engineer,33511,Mexico,<20% Remote,Mexico,Small,MEX,MEX
2020-01-01,Entry-level,Contract,Data Analyst,100000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Senior-level,Full Time,Machine Learning,117104,Canada,Partial Remote,Canada,Large,CAN,CAN
2020-01-01,Mid-level,Full Time,Data Engineer,59303,Germany,>80% Remote,Germany,Small,DEU,DEU
2020-01-01,Entry-level,Full Time,Data Engineer,70000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Senior-level,Full Time,Data Scientist,68428,Greece,>80% Remote,United States,Large,GRC,USA
2020-01-01,Mid-level,Full Time,research scientist,450000,United States,<20% Remote,United States,Medium,USA,USA
2020-01-01,Mid-level,Full Time,Data Analyst,46759,France,Partial Remote,France,Large,FRA,FRA
2020-01-01,Mid-level,Full Time,Data Engineer,74130,Austria,Partial Remote,Austria,Large,AUT,AUT
2020-01-01,Mid-level,Full Time,Data Scientist,103000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Entry-level,Full Time,Data Analyst,10000,Nigeria,>80% Remote,Nigeria,Small,NGA,NGA
2020-01-01,Entry-level,Full Time,Machine Learning,138000,United States,>80% Remote,United States,Small,USA,USA
2020-01-01,Mid-level,Full Time,Data Scientist,45760,Philippines,>80% Remote,United States,Small,PHL,USA
2020-01-01,Executive-level,Full Time,Data Engineer,79833,Spain,Partial Remote,Spain,Large,ESP,ESP
2020-01-01,Mid-level,Full Time,Machine Learning,50180,Portugal,<20% Remote,Portugal,Medium,PRT,PRT
2020-01-01,Mid-level,Full Time,Data Engineer,106000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Engineer,112872,United Kingdom,Partial Remote,United Kingdom,Large,GBR,GBR
2020-01-01,Entry-level,Part Time,Machine Learning,15966,Germany,>80% Remote,Germany,Small,DEU,DEU
2020-01-01,Mid-level,Full Time,Data Scientist,76958,United Kingdom,>80% Remote,United Kingdom,Small,GBR,GBR
2020-01-01,Senior-level,Full Time,Data Engineer,188000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Scientist,105000,United States,>80% Remote,United States,Large,USA,USA
2020-01-01,Mid-level,Full Time,Data Engineer,70139,France,Partial Remote,France,Large,FRA,FRA
2020-01-01,Entry-level,Full Time,Data Analyst,6072,India,<20% Remote,India,Small,IND,IND
2020-01-01,Entry-level,Full Time,Data Analyst,91000,United States,>80% Remote,United States,Large,USA,USA
